epd,move,eval,depth,pv,engine
2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,e4e5,413,32,e4e5 f6e5 f4e5 c4g4 e6c7 e8f8 e5d6,Stockfish 15
2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,d3h3,200,32,d3h3 h8g8 b2b3 c4c2 b1c2 c8e6 f4f5,Stockfish 15
2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,a2a3,68,32,a2a3 e8e7 e4e5 d6e5 f4e5 f6f5 g4f5,Stockfish 15
2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,a2a4,35,32,a2a4 c8e6 g4e6 f7e6 e4e5 f6f5 e5d6,Stockfish 15
2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,d3d5,4,32,d3d5 e8e7 e4e5 d6e5 e6g5 h6g5 g4c8,Stockfish 15
2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,f4f5,2,32,f4f5 e8e7 e6d4 h6f4 h2h3 c8b7 e4e5,Stockfish 15
2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,g2g3,0,32,g2g3 c8e6 g4e6 f7e6 e4e5 f6e5 d3g6,Stockfish 15
2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,b2b3,0,32,b2b3 c8e6 g4e6 f7e6 e4e5 e8f7 f4f5,Stockfish 15
2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,g4h3,0,32,g4h3 c8e6 h3e6 f7e6 e4e5 f6e5 d3g6,Stockfish 15
2b1k2r/5p2/pq1pNp1b/1p6/2r1PPBp/3Q4/PPP3PP/1K1RR3 w k -,c2c3,-11,32,c2c3 f7e6 e4e5 f6f5 e5d6 e8g8 d6d7,Stockfish 15
