epd,move,eval,depth,pv,engine
1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,h5h4,144,32,h5h4 g3g4 g5f4 e3e2 f5g6 a1e1 e7f8,Stockfish 15
1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,e7d8,0,32,e7d8 f3e2 h5h4 g3g4 f5g6 d2f3 g6e4,Stockfish 15
1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,h8g8,0,32,h8g8 f3h5 e8d7 a1d1 g8h8 e3f3 g5f4,Stockfish 15
1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,h8h7,-32,32,h8h7 h3h4 g5f4 g3f4 h7g7 f3h5 e8d7,Stockfish 15
1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,e7f8,-40,32,e7f8 c3c4 g5f4 g3f4 c6b4 a1d1 f8e7,Stockfish 15
1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,e8d7,-42,32,e8d7 c3c4 g5f4 g3f4 c6b4 c4d5 b4d5,Stockfish 15
1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,h8f8,-47,32,h8f8 f3h5 f8h8 h5f3 g5f4 g3f4 e8d7,Stockfish 15
1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,e8f8,-59,32,e8f8 a1e1 g5f4 e3f4 f8g8 f1g1 f5g6,Stockfish 15
1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,g5f4,-60,32,g5f4 g3f4 h8g8 f3h5 g8h8 h5e2 f7f6,Stockfish 15
1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,f5g6,-70,32,f5g6 a1e1 e7d8 f4g5 d8c7 b6c7 b8c7,Stockfish 15
