epd,move,eval,depth,pv,engine
1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,d1d2,841,32,d1d2 f7f8 d2d5 f8f7 a2a3 f7f8 g2g6,Stockfish 15
1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,a2a3,838,32,a2a3 f7f8 g2g1 f8f7 d1d5 f7f8 g1d1,Stockfish 15
1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,g2g1,837,32,g2g1 f7f8 a2a3 f8f7 d1d5 f7f8 g1d1,Stockfish 15
1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,d1d3,837,32,d1d3 f7f8 d3d5 f8f7 a2a3 f7f8 g2g6,Stockfish 15
1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,g2g3,829,32,g2g3 f7f8 a2a3 f8f7 g3g2 f7f8 g2g1,Stockfish 15
1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,d1d5,827,32,d1d5 f7f8 a2a3 f8f7 g2g1 f7f8 g1d1,Stockfish 15
1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,g2f2,758,32,g2f2 h7g7 f5g7 f7g7 a4b3 e7b4 d1d8,Stockfish 15
1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,a4b3,721,32,a4b3 b8c6 b5c6 e6c6 f5e7 f7e7 d1f1,Stockfish 15
1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,c4c5,676,32,c4c5 b6c5 a4a5 c5c4 a2a4 e7a3 d1d8,Stockfish 15
1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,g2d2,510,32,g2d2 f7g6 f5e7 e6e7 c4c5 b6c5 d1f1,Stockfish 15
