epd,move,eval,depth,pv,engine
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,h5h4,0,32,h5h4 c1e3 c8e8 e3g5 h4g3 f2g3 e8e6,Stockfish 15
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,c6d7,-22,32,c6d7 h3h4 d7h3 c1g5 h3f5 d3f5 f7f5,Stockfish 15
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,c8d8,-43,32,c8d8 h6g5 d8e8 c1d2 c6b5 d3b5 a6b5,Stockfish 15
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,c6b5,-50,32,c6b5 d3b5 a6b5 h6g5 c8e8 c1e3 e8e3,Stockfish 15
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,c8e6,-129,32,c8e6 c1g5 c6b5 d3b1 h5h4 g5h4 h7g8,Stockfish 15
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,c7d8,-165,32,c7d8 c1e3 c6d7 h6f4 d7f5 e3f3 f5d3,Stockfish 15
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,f7f6,-315,32,f7f6 c1g5 c8e6 g5h5 h7g8 h5h4 f6f7,Stockfish 15
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,c7a5,-431,32,c7a5 c1g5 f7f5 d3f5 c8f5 b2b3 f5g5,Stockfish 15
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,f7f5,-500,32,f7f5 c1e3 c7a5 h6f4 a5d8 e3f3 h7g8,Stockfish 15
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - -,f7g7,-552,32,f7g7 c1g5 c8e6 g5h5 h7g8 h5g5 e6e7,Stockfish 15
