epd,move,eval,depth,pv,engine
1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,c4c5,801,26,c4c5 d6c5 b4c5 f5c5 c1c5 b6c5 e4e5,Stockfish 15
1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,b4b5,630,26,b4b5 f4f3 b5a6 f3f2 g1f1 f5e5 e4f3,Stockfish 15
1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,h6f4,604,26,h6f4 b8c6 c1d1 d7e7 e4e7 c6e7 f4d6,Stockfish 15
1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,e4d4,598,26,e4d4 h8g8 d4b6 d7e8 b6d6 f4f3 d6d4,Stockfish 15
1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,c1d1,563,26,c1d1 f4f3 e4d4 h8g8 d4d6 d7d6 d1d6,Stockfish 15
1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,e4a8,544,26,e4a8 d7d8 b4b5 a6a5 c1f1 g6g5 h3h4,Stockfish 15
1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,g1h2,494,26,g1h2 h8g8 h6f4 b8c6 c1d1 d7e7 e4c6,Stockfish 15
1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,g2g4,489,26,g2g4 f4g3 c1e1 h8g8 e4e8 d7e8 e1e8,Stockfish 15
1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,c1f1,483,26,c1f1 g6g5 h3h4 b8c6 h6g5 b6b5 f1f4,Stockfish 15
1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,a3a4,428,26,a3a4 f4f3 c1f1 d7f7 f1f3 f5f3 g2f3,Stockfish 15
