epd,move,eval,depth,pv,engine
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,h2h4,357,32,h2h4 g8g7 d3f3 b8c8 h4h5 b5b4 g1g2,Stockfish 15
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,g1g2,337,32,g1g2 g8g7 d3f3 b8c8 h2h4 h7h5 e1e3,Stockfish 15
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,a2a3,328,32,a2a3 g8g7 h2h4 h7h5 d3f3 a6b7 e4c2,Stockfish 15
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,d3f3,321,32,d3f3 b8c8 h2h4 h7h5 e1e3 g8g7 e3a3,Stockfish 15
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,g1h1,313,32,g1h1 g8g7 d3f3 b8c8 h2h4 b5b4 f3b3,Stockfish 15
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,h2h3,312,32,h2h3 g8g7 h3h4 h7h5 e1e3 b8f8 e3f3,Stockfish 15
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,d3e2,292,32,d3e2 g8g7 h2h4 h7h5 e2f3 a6b7 e1e3,Stockfish 15
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,d3b3,288,32,d3b3 g8g7 h2h4 h7h5 b3f3 a6b7 e1e3,Stockfish 15
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,d1d2,281,32,d1d2 c7c8 d2d1 e7d8 a5b3 f7f5 e5f6,Stockfish 15
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - -,e1e3,280,32,e1e3 b8f8 h2h4 e7d8 d3e2 c7c8 a5b3,Stockfish 15
