epd,move,eval,depth,pv,engine
2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,b2b4,148,32,b2b4 a5b4 a4a5 c7c5 a5b6 e6e5 a1a5,Stockfish 15
2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,d1e1,24,32,d1e1 c7c5 d2b1 h5h4 b1c3 d7b8 a1d1,Stockfish 15
2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,b2b3,19,32,b2b3 c7c5 d2b1 d7b8 a1a2 b8c6 b1c3,Stockfish 15
2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,d2b1,18,32,d2b1 c7c5 b1c3 h5h4 d1b3 f6h5 d4c5,Stockfish 15
2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,a1a3,10,32,a1a3 c7c5 d2b1 d7b8 a3d3 b8c6 b1c3,Stockfish 15
2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,a1c1,0,32,a1c1 c7c5 d2b1 d7b8 b1c3 b8c6 c1c2,Stockfish 15
2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,d1c2,0,32,d1c2 c7c5 d2b1 h5h4 b1a3 f6h5 a3b5,Stockfish 15
2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,f2e1,0,32,f2e1 c7c5 d1b3 f6h7 a1d1 f7f5 d4c5,Stockfish 15
2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,a1a2,0,32,a1a2 c7c5 d2b1 h5h4 b1c3 c8b8 c3b5,Stockfish 15
2kr2r1/1bpnqp2/1p1ppn2/p5pp/P1PP4/4PP2/1P1NBBPP/R2Q1RK1 w - -,e3e4,-16,32,e3e4 c7c5 d2b1 h5h4 b1c3 f6h5 h2h3,Stockfish 15
