epd,move,eval,depth,pv,engine
2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,c4c5,616,32,c4c5 e4e3 b6d6 g8g7 d6c7 g7g8 c7b6,Stockfish 15
2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,e2e3,527,32,e2e3 f6f8 e3e2 c8f5 h4f5 f8f5 b6d6,Stockfish 15
2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,g2g1,526,32,g2g1 c8d7 g1h2 e4e3 b6b7 d7a4 b7b1,Stockfish 15
2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,g2h2,526,32,g2h2 g8f7 h4g2 f6d8 b6b4 d8c7 g2e3,Stockfish 15
2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,g2h1,522,32,g2h1 g8g7 h4g2 e8f8 h1g1 f8f7 g2e3,Stockfish 15
2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,b6b4,517,32,b6b4 g8g7 b4b6 g7f7 g2h2 f6e7 h4g2,Stockfish 15
2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,b6b2,507,32,b6b2 f6d8 g2h2 g8f7 b2b4 d8f6 h4g2,Stockfish 15
2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,g2f2,457,32,g2f2 c8f5 f2g1 f5h7 h4g2 e4e3 e2e3,Stockfish 15
2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,g2f1,456,32,g2f1 f6a1 f1g2 a1d1 b6e3 c8d7 g2h2,Stockfish 15
2b1r1k1/1p6/pQ1p1q1p/P2P3P/2P1pPpN/6P1/4R1K1/8 w - -,b6e3,362,32,b6e3 c8f5 g2h2 e8c8 e3b3 c8c5 b3b7,Stockfish 15
