epd,move,eval,depth,pv,engine
1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,h4h5,590,32,h4h5 g6h5 g3h5 b8d8 a7b7 d7c8 b7b6,Stockfish 15
1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,g3e2,259,32,g3e2 g6f5 e2f4 d7d6 f4d3 c7e6 a7f7,Stockfish 15
1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,f3f4,231,32,f3f4 g6f5 g3h5 b8d8 a7b7 d7c8 b7b6,Stockfish 15
1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,g3f1,141,32,g3f1 b8e8 a7b7 g6f5 b7b6 c7e6 f1e3,Stockfish 15
1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,f5g6,87,32,f5g6 f7g6 h4h5 g6g5 g3f5 b8e8 a7b7,Stockfish 15
1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,g3h1,70,32,g3h1 b8g8 a7b7 g6f5 h1g3 g8g6 b7b8,Stockfish 15
1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,f2g2,56,32,f2g2 b8g8 a7b7 g6f5 g2f2 g8g6 b7b8,Stockfish 15
1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,f2f1,0,32,f2f1 b8e8 a7b7 e8e3 b7b6 e3f3 f1g2,Stockfish 15
1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,f2g1,0,32,f2g1 b8e8 a7b7 e8e1 g1g2 e1a1 b7b6,Stockfish 15
1r6/R1nk1p2/1p4pp/pP1p1P2/P2P3P/5PN1/5K2/8 w - -,f5f6,-11,32,f5f6 b8e8 a7b7 e8e6 b7b8 e6f6 g3e2,Stockfish 15
