epd,move,eval,depth,pv,engine
2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,d4d5,19,32,d4d5 c6e5 f1d1 c8d8 d3c2 g8h8 d5e6,Stockfish 15
2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,h5h6,0,32,h5h6 c6d4 c3e2 d4e2 d3e2 e7g7 h6h3,Stockfish 15
2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,f1d1,0,32,f1d1 c6d4 d3a6 d4f3 g1h1 b7a6 h5f3,Stockfish 15
2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,a1d1,-20,32,a1d1 c6d4 f2f4 e7g7 f1f2 f8d8 h5h3,Stockfish 15
2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,f2f4,-22,32,f2f4 c6d4 a1d1 e7f6 f1f2 f8d8 d3f1,Stockfish 15
2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,c3e2,-32,32,c3e2 e7g7 g2g3 c6d4 e2d4 g7d4 h5e2,Stockfish 15
2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,h5h3,-42,32,h5h3 c6d4 c3e2 e7g7 a1d1 d4f3 g1h1,Stockfish 15
2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,h5d1,-46,32,h5d1 e7g7 d4d5 c6e5 f2f3 c8d8 d1c2,Stockfish 15
2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,f2f3,-50,32,f2f3 e7f6 f1f2 c6d4 f3f4 f8d8 a1d1,Stockfish 15
2r2rk1/pb2q2p/1pn1p2p/5p1Q/3P4/P1NB4/1P3PPP/R4RK1 w - -,a1e1,-60,32,a1e1 c6d4 f2f4 g8h8 e1e3 e7f6 f1f2,Stockfish 15
