epd,move,eval,depth,pv,engine
1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,b4b5,833,32,b4b5 g6g5 f4g5 f6g6 a1e1 b7a8 a3e3,Stockfish 15
1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,g2g3,765,32,g2g3 c8c4 b4b5 f6h8 d2e3 h8e8 b5a6,Stockfish 15
1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,d2e3,742,32,d2e3 c8c6 b4b5 c6b6 b5a6 b7a8 a3c3,Stockfish 15
1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,a1b1,712,32,a1b1 b7a7 b4b5 f6f8 a3a1 f8h6 b1h1,Stockfish 15
1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,a3b3,691,32,a3b3 c8f8 b4b5 f6f4 b5a6 b7a8 d2f4,Stockfish 15
1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,a1e1,609,32,a1e1 f6f8 f3g5 h7h4 a3g3 c8c6 e1e6,Stockfish 15
1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,a1g1,570,32,a1g1 f6f8 a3a1 c8c6 f3e5 c6b6 g1b1,Stockfish 15
1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,a1f1,566,32,a1f1 f6f8 a3a1 c8c6 f1b1 c6b6 f3e5,Stockfish 15
1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,a1d1,565,32,a1d1 f6f8 a3a1 c8c6 f3e5 c6b6 d1b1,Stockfish 15
1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,a3d3,556,32,a3d3 f6f8 f3g5 h7h4 d3g3 f8e8 a1e1,Stockfish 15
