epd,move,eval,depth,pv,engine
1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,f5f4,-28,32,f5f4 e3e2 g5f7 d5d6 a5d8 a1c1 d8d6,Stockfish 15
1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,g5f7,-265,32,g5f7 a1c1 b8b5 d5d6 f5f4 e3e4 g8h8,Stockfish 15
1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,c5c4,-459,32,c5c4 d3c4 f5f4 e3c3 a5c3 b2c3 g5e4,Stockfish 15
1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,e5e4,-536,32,e5e4 d5d6 g5f7 b2g7 g8g7 d3e4 f7d6,Stockfish 15
1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,a5d2,-539,32,a5d2 d5d6 g8h8 a1b1 d2e3 f2e3 g5f7,Stockfish 15
1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,g5h3,-639,32,g5h3 g1g2 f5f4 e3e1 a5d8 g2h3 d8d7,Stockfish 15
1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,g5e4,-703,32,g5e4 d3e4 c5c4 b2c3 a5b5 b3d1 f5f4,Stockfish 15
1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,a5d8,-744,32,a5d8 e3g5 d8d6 a1e1 a7a5 b2a3 a5a4,Stockfish 15
1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,h7h5,-746,32,h7h5 e3g5 g8h7 a1c1 b8c8 g5e7 f8e8,Stockfish 15
1r3rk1/p5bp/6p1/q1pPppn1/7P/1B1PQ1P1/PB3P2/R4RK1 b - -,a5b5,-764,32,a5b5 e3g5 a7a5 d5d6 g8h8 a1b1 b5c6,Stockfish 15
