epd,move,eval,depth,pv,engine
2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,d6d5,28,32,d6d5 c2f2 d5e4 g4g5 f8d6 d1d6 c7d6,Stockfish 15
2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,f8g7,-113,32,f8g7 e3f4 f6d7 a1a2 g7e5 g3e2 d7f8,Stockfish 15
2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,f6d7,-125,32,f6d7 g3e2 f8g7 a1a2 d7e5 a3a4 h7g8,Stockfish 15
2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,a5a4,-135,32,a5a4 e3f2 a4b3 c2b3 b4a3 g4g5 f6d7,Stockfish 15
2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,h7g8,-181,32,h7g8 c2f2 f8g7 a3a4 f6h7 a1a2 c8d8,Stockfish 15
2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,c7e7,-182,32,c7e7 e3f4 c8c6 c2d2 f6d7 a1a2 h7g8,Stockfish 15
2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,c8a8,-185,32,c8a8 c2f2 b4a3 a1a3 f6d7 g3e2 f8g7,Stockfish 15
2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,c8d8,-185,32,c8d8 c2f2 h7g8 a3a4 f8g7 a1a2 f6h7,Stockfish 15
2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,h7h8,-199,32,h7h8 c2f2 h8g8 a3a4 c8d8 g3e2 c7e7,Stockfish 15
2r1rb2/1bq2p1k/3p1np1/p1p5/1pP1P1P1/PP2BPN1/2Q3P1/R2R1BK1 b - -,e8e6,-200,32,e8e6 a3b4 a5b4 g4g5 f6d7 e3c1 f8g7,Stockfish 15
