epd,move,eval,depth,pv,engine
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,a4a5,208,32,a4a5 c8g4 e2d3 f6h5 a5b6 b8b6 d3d2,Stockfish 15
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,e4g5,38,32,e4g5 e8d6 g5e6 c8e6 d5e6 d6f5 e3g5,Stockfish 15
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,e4f6,18,32,e4f6 e8f6 a4a5 f6h5 a5b6 h5f4 f1f4,Stockfish 15
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,e3g5,0,32,e3g5 c8f5 e4g3 f5g4 e2e5 e8d6 h2h3,Stockfish 15
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,a1e1,0,32,a1e1 c8g4 g2f3 g4h3 f3g2,Stockfish 15
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,a1d1,0,32,a1d1 c8g4 g2f3 g4h3 d5d6 h3f1 e2f1,Stockfish 15
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,b2b3,0,32,b2b3 c8g4 e2d2 e8d6 e4d6 d8d6 a4a5,Stockfish 15
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,d5d6,0,32,d5d6 c8f5 e3g5 d8d7 a1d1 a6a5 e4f6,Stockfish 15
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,a1c1,-25,32,a1c1 c8g4 g2f3 g4f5 c1e1 d8c8 e4g3,Stockfish 15
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - -,f1f2,-27,32,f1f2 c8g4 e2f1 f6e4 f2f8 g7f8 c3e4,Stockfish 15
