epd,move,eval,depth,pv,engine
2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,h6h5,561,32,h6h5 h2h3 g5h3 g2h3 d6d5 c2d1 d5c4,Stockfish 15
2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,d7d8,343,32,d7d8 b1h1 g5e6 h2h4 e6f8 h4h5 f8d7,Stockfish 15
2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,g5e6,324,32,g5e6 b4a5 b6e3 a5c3 d7d8 c2d1 h6h5,Stockfish 15
2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,d7e7,319,32,d7e7 c2d1 h6h5 h2h3 g5e6 d1e1 b6e3,Stockfish 15
2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,g5h7,311,32,g5h7 a3d3 b6e3 c2d1 h6h5 h2h3 d7e6,Stockfish 15
2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,b6e3,299,32,b6e3 a3a5 g5e6 c2d1 d7d8 b4c3 e3d4,Stockfish 15
2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,d7c7,269,32,d7c7 c2d1 g5e6 d1f1 b6e3 b4c3 c7d8,Stockfish 15
2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,d7e6,267,32,d7e6 c2d3 e6e7 a3a2 h6h5 h2h3 g5h7,Stockfish 15
2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,d7e8,227,32,d7e8 a3d3 b6e3 d3d6 c6d6 b4d6 e8c6,Stockfish 15
2r3k1/p2q1pp1/Pbrp3p/6n1/1BP1PpP1/R4P2/2QN2KP/1R6 b - -,b6d4,197,32,b6d4 c2d3 g5e6 a3a5 d7d8 a5d5 d4e5,Stockfish 15
